iter	RMSE
0	372.1747845
1	364.4977836
2	357.0856305
3	349.9322734
4	342.9821396
5	336.3553031
6	329.8840063
7	323.5613918
8	317.5343872
9	311.7449344
10	306.0793756
11	300.5765507
12	295.305292
13	290.2755405
14	285.4629389
15	280.8205343
16	276.3842859
17	272.1163254
18	267.889425
19	263.8243135
20	259.9174448
21	256.173361
22	252.5848538
23	249.0440262
24	245.6968649
25	242.5267173
26	239.5018756
27	236.486204
28	233.6037682
29	230.7609409
30	228.1525623
31	225.6486813
32	223.2249536
33	220.8360476
34	218.637082
35	216.5174178
36	214.4730747
37	212.3516388
38	210.3521862
39	208.4852703
40	206.7198842
41	205.0025847
42	203.3632206
43	201.667217
44	200.1179009
45	198.595505
46	197.1400046
47	195.772544
48	194.4406589
49	193.1554626
50	191.9148792
51	190.7083111
52	189.5924329
53	188.4646266
54	187.3762838
55	186.3085075
56	185.2360775
57	184.278622
58	183.4112177
59	182.5458236
60	181.647415
61	180.7787776
62	179.9098489
63	179.1546709
64	178.3373747
65	177.6346102
66	176.9114005
67	176.1558029
68	175.5110693
69	174.9141722
70	174.2977418
71	173.7179182
72	173.1457023
73	172.5515606
74	172.0473759
75	171.5291789
76	170.9658689
77	170.4474922
78	169.9492588
79	169.5149193
80	169.0754411
81	168.6450824
82	168.1946311
83	167.741506
84	167.3576348
85	166.9988101
86	166.6731774
87	166.3656484
88	165.9154116
89	165.5188414
90	165.2095277
91	164.8506154
92	164.5055602
93	164.230724
94	163.9567354
95	163.6946696
96	163.4511676
97	163.181269
98	162.8269835
99	162.5661956
100	162.2817461
101	162.0072352
102	161.7542587
103	161.4746163
104	161.1708034
105	160.9607567
106	160.7189984
107	160.3643417
108	160.1048295
109	159.8222777
110	159.554201
111	159.366709
112	159.1254821
113	158.9015357
114	158.645314
115	158.4777096
116	158.2358912
117	158.0701083
118	157.896184
119	157.7189789
120	157.5613861
121	157.3575463
122	157.2164384
123	157.0101018
124	156.8344669
125	156.667579
126	156.5188769
127	156.3385456
128	156.1832918
129	156.0285796
130	155.8788268
131	155.6412337
132	155.5294263
133	155.4068284
134	155.2592584
135	155.1355106
136	154.9591702
137	154.8022695
138	154.6531512
139	154.4286182
140	154.2809529
141	154.1344598
142	153.9614322
143	153.8001229
144	153.6504636
145	153.507371
146	153.3905652
147	153.2757332
148	153.1454415
149	153.0049248
150	152.8634167
151	152.7381585
152	152.6151422
153	152.5100332
154	152.3680347
155	152.1153175
156	151.9973659
157	151.8531082
158	151.7175018
159	151.6096101
160	151.4837727
161	151.2987098
162	151.1931406
163	151.0617283
164	150.9934428
165	150.8418785
166	150.7719091
167	150.5944124
168	150.4467744
169	150.3898382
170	150.2743172
171	150.1346761
172	149.999746
173	149.8919806
174	149.7813459
175	149.6990498
176	149.5293734
177	149.387012
178	149.2234885
179	149.0920489
180	148.9913852
181	148.8943159
182	148.7744146
183	148.6747132
184	148.5538896
185	148.456491
186	148.3266701
187	148.2086351
