iter	Passed	Remaining
0	266	319477
1	351	210555
2	450	179774
3	548	164049
4	643	153771
5	755	150414
6	853	145473
7	958	142885
8	1045	138347
9	1118	133105
10	1198	129598
11	1270	125745
12	1340	122418
13	1419	120210
14	1498	118403
15	1576	116663
16	1651	114921
17	1730	113605
18	1823	113324
19	1899	112080
20	1969	110586
21	2039	109229
22	2116	108321
23	2193	107487
24	2264	106432
25	2331	105270
26	2399	104224
27	2465	103192
28	2531	102218
29	2596	101256
30	2667	100602
31	2743	100140
32	2813	99478
33	2878	98718
34	2947	98118
35	3028	97907
36	3120	98073
37	3234	98918
38	3313	98653
39	3402	98669
40	3494	98787
41	3578	98659
42	3652	98283
43	3728	97964
44	3798	97485
45	3882	97403
46	3957	97092
47	4045	97089
48	4120	96797
49	4191	96406
50	4255	95864
51	4322	95434
52	4385	94907
53	4450	94442
54	4513	93968
55	4577	93515
56	4646	93165
57	4714	92822
58	4792	92680
59	4863	92410
60	4938	92210
61	5008	91932
62	5083	91746
63	5156	91533
64	5227	91279
65	5297	91027
66	5370	90810
67	5440	90567
68	5512	90362
69	5578	90045
70	5644	89762
71	5710	89470
72	5780	89243
73	5848	88985
74	5917	88762
75	5982	88484
76	6047	88194
77	6109	87881
78	6174	87615
79	6237	87319
80	6302	87074
81	6366	86803
82	6430	86545
83	6496	86314
84	6579	86305
85	6669	86391
86	6753	86401
87	6837	86406
88	6917	86348
89	6988	86186
90	7055	85984
91	7119	85746
92	7182	85495
93	7242	85213
94	7303	84953
95	7364	84697
96	7427	84455
97	7497	84314
98	7570	84188
99	7641	84058
100	7713	83932
101	7782	83776
102	7853	83640
103	7919	83457
104	8000	83430
105	8067	83259
106	8130	83054
107	8198	82897
108	8308	83166
109	8410	83337
110	8543	83822
111	8664	84170
112	8822	84870
113	9211	87755
114	9875	93173
115	9982	93286
116	10083	93334
117	10166	93225
118	10250	93114
119	10330	92977
120	10412	92850
121	10491	92700
122	10570	92560
123	10652	92432
124	10738	92352
125	10818	92211
126	10895	92054
127	10973	91904
128	11053	91765
129	11132	91632
130	11209	91474
131	11288	91336
132	11365	91181
133	11446	91058
134	11523	90910
135	11598	90741
136	11673	90578
137	11749	90422
138	11826	90272
139	11914	90208
140	11993	90080
141	12073	89956
142	12159	89880
143	12244	89796
144	12362	89951
145	12462	89972
146	12538	89813
147	12608	89624
148	12673	89392
149	12740	89184
150	12815	89026
151	12886	88848
152	12953	88645
153	13026	88479
154	13104	88347
155	13176	88184
156	13271	88167
157	13424	88530
158	13606	89081
159	13822	89848
160	14309	92344
161	14960	95856
162	15929	101342
163	16794	106094
164	17468	109572
165	17715	110348
166	17822	110244
167	17931	110153
168	18029	109987
169	18111	109734
170	18195	109490
171	18279	109253
172	18363	109014
173	18444	108761
174	18556	108688
175	18638	108441
176	18726	108230
177	18815	108032
178	18898	107796
179	18975	107525
180	19057	107292
181	19140	107061
182	19228	106859
183	19310	106630
184	19395	106414
185	19503	106328
186	19595	106150
187	19675	105915
188	19756	105681
189	19835	105439
190	19904	105150
191	19970	104842
192	20039	104558
193	20104	104255
194	20167	103942
195	20230	103630
196	20341	103564
197	20419	103334
198	20509	103166
199	20587	102938
200	20655	102662
201	20737	102455
202	20819	102253
203	20915	102119
204	21010	101978
205	21093	101781
206	21166	101538
207	21236	101283
208	21309	101043
209	21382	100804
210	21452	100553
211	21520	100293
212	21589	100040
213	21652	99765
214	21716	99489
215	21790	99269
216	21864	99044
217	21938	98823
218	22007	98583
219	22070	98314
220	22136	98063
221	22202	97811
222	22267	97559
223	22337	97326
224	22407	97098
225	22482	96895
226	22550	96658
227	22617	96421
228	22680	96168
229	22781	96077
230	22942	96241
231	23079	96295
232	23217	96357
233	23369	96474
234	23517	96571
235	23751	97017
236	24072	97814
237	24434	98763
238	24586	98859
239	24773	99094
240	25011	99525
241	25370	100434
242	26138	102940
243	26720	104692
244	27201	106028
245	27459	106488
246	27998	108026
247	29158	111930
248	29858	114038
249	29965	113869
250	30061	113658
251	30154	113436
252	30243	113204
253	30337	112987
254	30421	112739
255	30502	112479
256	30580	112206
257	30656	111933
258	30737	111675
259	30809	111387
260	30881	111103
261	30951	110809
262	31022	110523
263	31090	110230
264	31157	109933
265	31230	109660
266	31300	109377
267	31374	109108
268	31478	108946
269	31563	108719
270	31651	108503
271	31736	108277
272	31816	108036
273	31901	107814
274	31982	107577
275	32064	107345
276	32156	107150
277	32254	106974
278	32344	106773
279	32428	106550
280	32532	106396
281	32600	106126
282	32663	105837
283	32728	105559
284	32792	105281
285	32853	104993
286	32918	104719
287	32981	104442
288	33042	104159
289	33108	103893
290	33168	103609
291	33231	103337
292	33294	103065
293	33356	102791
294	33418	102522
295	33485	102267
296	33551	102010
297	33624	101775
298	33697	101542
299	33767	101301
300	33835	101056
301	33901	100805
302	33970	100567
303	34041	100331
304	34119	100121
305	34186	99879
306	34256	99644
307	34324	99406
308	34391	99166
309	34462	98940
310	34531	98707
311	34626	98551
312	34737	98440
313	34852	98340
314	34943	98175
315	35032	98002
316	35110	97801
317	35183	97583
318	35255	97366
319	35324	97141
320	35393	96918
321	35457	96682
322	35526	96461
323	35598	96247
324	35686	96078
325	35769	95896
326	35857	95730
327	35944	95559
328	36026	95378
329	36114	95211
330	36207	95059
331	36280	94854
332	36346	94632
333	36430	94458
334	36518	94295
335	36604	94124
336	36686	93948
337	36811	93880
338	36907	93737
339	36977	93532
340	37044	93318
341	37111	93103
342	37173	92879
343	37237	92660
344	37300	92441
345	37371	92241
346	37437	92028
347	37504	91822
348	37568	91607
349	37639	91409
350	37706	91205
351	37782	91022
352	37851	90821
353	37921	90624
354	37989	90426
355	38056	90223
356	38123	90022
357	38190	89822
358	38252	89611
359	38313	89398
360	38381	89202
361	38446	89001
362	38512	88802
363	38573	88592
364	38634	88383
365	38695	88174
366	38756	87967
367	38822	87773
368	38883	87566
369	38946	87365
370	39011	87170
371	39073	86970
372	39135	86769
373	39201	86578
374	39276	86407
375	39343	86220
376	39410	86034
377	39478	85849
378	39559	85695
379	39645	85551
380	39721	85386
381	39796	85218
382	39865	85038
383	39940	84874
384	40012	84702
385	40083	84528
386	40153	84353
387	40220	84172
388	40281	83979
389	40343	83789
390	40408	83607
391	40471	83419
392	40532	83230
393	40597	83049
394	40682	82909
395	40799	82835
396	40884	82695
397	40966	82549
398	41039	82387
399	41116	82233
400	41189	82070
401	41263	81910
402	41342	81761
403	41427	81624
404	41524	81511
405	41601	81358
406	41671	81193
407	41734	81014
408	41828	80895
409	41904	80742
410	41976	80583
411	42058	80441
412	42134	80290
413	42207	80133
414	42280	79976
415	42355	79824
416	42429	79669
417	42499	79508
418	42603	79411
419	42697	79294
420	42781	79160
421	42846	78992
422	42910	78822
423	42978	78658
424	43054	78511
425	43119	78344
426	43183	78174
427	43251	78014
428	43321	77857
429	43403	77722
430	43473	77566
431	43544	77411
432	43621	77269
433	43693	77118
434	43761	76960
435	43836	76814
436	43911	76669
437	43986	76523
438	44068	76392
439	44153	76264
440	44242	76144
441	44335	76032
442	44455	75965
443	44529	75820
444	44603	75675
445	44676	75529
446	44785	75443
447	44865	75310
448	44931	75152
449	44997	74995
450	45064	74841
451	45136	74694
452	45205	74543
453	45277	74399
454	45341	74240
455	45402	74077
456	45464	73917
457	45527	73758
458	45593	73605
459	45663	73458
460	45738	73319
461	45814	73184
462	45893	73053
463	45975	72927
464	46054	72796
465	46134	72666
466	46223	72551
467	46308	72431
468	46385	72297
469	46462	72165
470	46536	72028
471	46619	71904
472	46697	71773
473	46776	71645
474	46854	71514
475	46926	71375
476	47006	71248
477	47086	71122
478	47166	70995
479	47247	70871
480	47344	70770
481	47447	70678
482	47528	70554
483	47625	70454
484	47711	70338
485	47794	70216
486	47880	70100
487	47961	69975
488	48041	69851
489	48122	69727
490	48203	69606
491	48293	69495
492	48387	69391
493	48477	69281
494	48577	69185
495	48682	69097
496	48797	69023
497	48907	68941
498	49012	68853
499	49110	68754
500	49213	68663
501	49303	68553
502	49388	68437
503	49491	68345
504	49594	68254
505	49683	68143
506	49786	68051
507	49889	67959
508	49985	67858
509	50070	67742
510	50150	67619
511	50230	67497
512	50309	67373
513	50409	67277
514	50504	67176
515	50650	67141
516	50762	67061
517	50871	66977
518	50967	66876
519	51062	66774
520	51194	66720
521	51310	66644
522	51403	66539
523	51488	66424
524	51573	66308
525	51668	66205
526	51753	66091
527	51837	65975
528	51943	65886
529	52127	65897
530	52244	65821
531	52332	65710
532	52419	65597
533	52528	65512
534	52627	65415
535	52707	65294
536	52804	65193
537	52898	65090
538	53014	65013
539	53098	64898
540	53184	64784
541	53285	64689
542	53375	64581
543	53457	64462
544	53540	64346
545	53626	64234
546	53706	64113
547	53784	63991
548	53870	63878
549	53948	63757
550	54029	63639
551	54188	63612
552	54343	63580
553	54455	63498
554	54555	63401
555	54668	63320
556	54785	63244
557	54929	63198
558	55076	63155
559	55226	63116
560	55410	63114
561	55569	63084
562	55668	62985
563	55764	62882
564	55855	62775
565	55949	62671
566	56036	62559
567	56145	62472
568	56236	62363
569	56317	62245
570	56406	62135
571	56494	62025
572	56580	61912
573	56664	61797
574	56754	61689
575	56846	61583
576	56937	61476
577	57032	61374
578	57131	61275
579	57220	61166
580	57308	61056
581	57396	60946
582	57493	60846
583	57593	60749
584	57685	60644
585	57769	60529
586	57858	60421
587	57940	60305
588	58032	60199
589	58119	60089
590	58199	59972
591	58283	59858
592	58372	59751
593	58476	59657
594	58580	59565
595	58683	59470
596	58790	59380
597	58900	59294
598	59006	59203
599	59117	59117
600	59231	59034
601	59339	58944
602	59452	58861
603	59552	58763
604	59639	58653
605	59721	58538
606	59802	58423
607	59894	58318
608	59979	58206
609	60070	58100
610	60156	57990
611	60238	57875
612	60319	57761
613	60405	57651
614	60491	57540
615	60580	57433
616	60664	57321
617	60751	57212
618	60843	57108
619	60936	57004
620	61025	56898
621	61108	56785
622	61194	56675
623	61277	56564
624	61362	56453
625	61446	56342
626	61534	56234
627	61619	56124
628	61701	56011
629	61815	55928
630	61921	55837
631	62033	55751
632	62144	55665
633	62252	55575
634	62352	55479
635	62437	55369
636	62524	55261
637	62611	55153
638	62711	55056
639	62812	54960
640	62920	54871
641	63015	54770
642	63101	54661
643	63181	54547
644	63266	54438
645	63348	54327
646	63436	54219
647	63518	54108
648	63604	54000
649	63692	53893
650	63780	53787
651	63860	53674
652	63941	53562
653	64029	53456
654	64118	53350
655	64203	53242
656	64288	53133
657	64380	53030
658	64462	52920
659	64548	52812
660	64641	52710
661	64724	52600
662	64811	52494
663	64896	52385
664	64978	52275
665	65077	52179
666	65164	52073
667	65247	51963
668	65333	51856
669	65415	51746
670	65500	51639
671	65582	51528
672	65665	51420
673	65751	51313
674	65835	51205
675	65932	51107
676	66025	51006
677	66113	50901
678	66224	50814
679	66314	50710
680	66406	50609
681	66492	50502
682	66581	50399
683	66671	50296
684	66754	50188
685	66843	50083
686	66941	49986
687	67045	49894
688	67137	49793
689	67233	49694
690	67322	49590
691	67418	49492
692	67507	49388
693	67605	49291
694	67691	49186
695	67775	49078
696	67871	48980
697	67967	48882
698	68067	48786
699	68161	48686
700	68252	48585
701	68347	48486
702	68432	48379
703	68527	48281
704	68620	48180
705	68721	48085
706	68807	47980
707	68897	47877
708	68980	47770
709	69060	47661
710	69146	47556
711	69238	47455
712	69320	47348
713	69402	47240
714	69488	47135
715	69576	47031
716	69661	46926
717	69746	46821
718	69849	46728
719	69946	46631
720	70034	46527
721	70127	46428
722	70283	46369
723	70383	46274
724	70475	46173
725	70567	46072
726	70661	45973
727	70742	45866
728	70827	45760
729	70907	45652
730	70987	45544
731	71072	45439
732	71156	45334
733	71236	45226
734	71316	45118
735	71415	45022
736	71498	44916
737	71582	44811
738	71667	44707
739	71750	44601
740	71831	44494
741	71919	44392
742	72000	44285
743	72080	44178
744	72164	44073
745	72251	43970
746	72332	43864
747	72416	43759
748	72500	43654
749	72580	43548
750	72663	43443
751	72746	43338
752	72828	43233
753	72911	43127
754	72995	43023
755	73077	42918
756	73159	42813
757	73240	42707
758	73321	42601
759	73400	42494
760	73486	42392
761	73565	42285
762	73655	42185
763	73740	42082
764	73820	41976
765	73908	41875
766	73989	41770
767	74072	41666
768	74152	41560
769	74235	41456
770	74316	41351
771	74404	41250
772	74486	41145
773	74575	41045
774	74657	40941
775	74741	40837
776	74826	40735
777	74913	40634
778	74995	40530
779	75081	40428
780	75161	40323
781	75251	40224
782	75333	40120
783	75414	40015
784	75499	39913
785	75585	39812
786	75667	39708
787	75750	39605
788	75832	39502
789	75912	39397
790	75997	39295
791	76080	39192
792	76161	39089
793	76242	38985
794	76326	38883
795	76407	38779
796	76495	38679
797	76581	38578
798	76664	38476
799	76748	38374
800	76835	38273
801	76931	38177
802	77016	38076
803	77108	37979
804	77198	37880
805	77283	37778
806	77367	37677
807	77454	37576
808	77534	37473
809	77620	37372
810	77701	37269
811	77790	37170
812	77879	37071
813	77978	36977
814	78072	36881
815	78162	36782
816	78251	36683
817	78360	36593
818	78496	36516
819	78576	36413
820	78663	36313
821	78745	36211
822	78825	36108
823	78915	36010
824	78995	35907
825	79086	35809
826	79212	35726
827	79301	35628
828	79390	35529
829	79474	35428
830	79560	35328
831	79646	35228
832	79731	35127
833	79819	35028
834	79898	34925
835	79984	34825
836	80065	34723
837	80148	34622
838	80230	34520
839	80314	34420
840	80404	34322
841	80484	34220
842	80564	34118
843	80647	34016
844	80739	33920
845	80819	33818
846	80905	33718
847	80989	33618
848	81074	33518
849	81155	33416
850	81243	33318
851	81325	33217
852	81406	33116
853	81504	33021
854	81592	32923
855	81677	32823
856	81760	32723
857	81843	32622
858	81930	32524
859	82016	32425
860	82096	32323
861	82184	32225
862	82267	32125
863	82358	32028
864	82447	31930
865	82538	31833
866	82627	31735
867	82719	31639
868	82811	31542
869	82906	31447
870	82997	31350
871	83086	31252
872	83168	31152
873	83252	31053
874	83337	30953
875	83418	30853
876	83507	30755
877	83588	30655
878	83669	30555
879	83756	30456
880	83843	30358
881	83933	30261
882	84036	30169
883	84135	30075
884	84230	29980
885	84322	29884
886	84419	29789
887	84509	29692
888	84602	29596
889	84690	29498
890	84775	29400
891	84872	29305
892	84964	29209
893	85063	29115
894	85235	29046
895	85364	28962
896	85500	28881
897	85646	28803
898	85782	28721
899	85922	28640
900	86080	28566
901	86339	28524
902	87288	28709
903	87741	28729
904	88182	28744
905	88623	28758
906	89132	28793
907	89643	28828
908	90515	28976
909	90912	28971
910	91347	28978
911	91498	28894
912	91624	28802
913	91736	28705
914	91850	28609
915	91956	28510
916	92064	28412
917	92178	28316
918	92310	28225
919	92449	28136
920	92667	28071
921	93372	28153
922	93945	28193
923	94048	28092
924	94145	27989
925	94237	27884
926	94320	27777
927	94406	27670
928	94502	27567
929	94586	27460
930	94666	27352
931	94747	27245
932	94827	27137
933	94903	27028
934	94980	26919
935	95051	26809
936	95126	26700
937	95203	26592
938	95279	26483
939	95360	26376
940	95434	26267
941	95509	26158
942	95582	26049
943	95657	25941
944	95733	25832
945	95807	25724
946	95880	25615
947	95959	25508
948	96042	25402
949	96122	25295
950	96214	25191
951	96318	25091
952	96419	24990
953	96499	24883
954	96575	24775
955	96643	24666
956	96715	24557
957	96781	24447
958	96853	24339
959	96923	24230
960	96993	24122
961	97064	24014
962	97135	23905
963	97206	23797
964	97274	23688
965	97347	23581
966	97423	23474
967	97508	23369
968	97589	23264
969	97657	23155
970	97733	23049
971	97801	22941
972	97866	22832
973	97931	22723
974	98005	22616
975	98074	22508
976	98146	22401
977	98221	22295
978	98289	22187
979	98367	22082
980	98451	21978
981	98530	21873
982	98605	21767
983	98679	21661
984	98758	21556
985	98840	21452
986	98919	21347
987	98993	21241
988	99068	21135
989	99138	21029
990	99213	20923
991	99296	20820
992	99405	20721
993	99511	20623
994	99612	20523
995	99721	20424
996	99828	20326
997	99903	20220
998	99984	20116
999	100054	20010
1000	100126	19905
1001	100192	19798
1002	100263	19692
1003	100334	19587
1004	100417	19483
1005	100498	19380
1006	100589	19278
1007	100685	19178
1008	100765	19074
1009	100838	18969
1010	100907	18864
1011	100980	18759
1012	101063	18656
1013	101136	18551
